Local-cases,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017
Month,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,5,6,7,8,9,10,11,12
Anguilla,0,0,0,0,1,1,3,8,4,6,14,3,9,0,2,0,2,0,1,0,,,,
Antigua-Barbuda,0,0,0,1,14,14,38,136,110,0,17,0,0,0,0,0,2,0,1,,,,,
Argentina,27,4,7,14,46,7,7,8,10,0,0,0,5,66,187,314,64,31,4,14,,,,
Aruba,18,11,1,4,1,7,0,1,0,0,1,3,97,281,196,71,25,1,,,,,,
Bahamas,18,24,0,20,22,17,49,119,57,36,14,8,12,0,22,23,7,9,8,,,,,
Barbados,283,167,82,31,31,14,15,53,57,76,18,6,10,8,7,3,1,0,0,0,,,,
Belize,5,6,3,13,47,73,105,209,179,130,38,96,174,278,168,128,137,141,188,4,,,,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,134,193,150,234,84,20,6,18,9,25,72,63,386,586,589,435,171,10,,,,,,
"Bonaire, Saint Eustatius and Saba",,,,,,,,,,,,,,,,,,,,,,,,
Brazil,49497,77393,58705,37077,21192,7291,4538,2078,1315,1648,1386,836,4422,3761,3906,3833,1042,,,,,,,
Canada,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,9,10,5,5,5,19,31,70,61,19,7,6,5,4,4,5,1,1,1,0,,,,
Chile,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,23435,18343,12673,12502,12285,5805,3551,1333,795,776,387,311,371,302,225,238,178,172,159,,,,,
Costa Rica,3,14,3,13,238,259,737,1755,1688,1450,834,508,409,164,138,122,140,261,459,271,,,,
Cuba,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,
Curacao,133,427,203,203,214,170,180,325,425,1435,1808,632,267,83,54,35,26,,,,,,,
Dominica,0,0,24,191,315,359,251,65,17,8,0,0,0,0,0,0,0,0,0,,,,,
Dominican Rep,357,421,677,1216,1442,811,225,41,34,29,14,13,4,6,5,0,0,8,2,,,,,
Ecuador,61,49,26,45,665,1124,1051,271,102,51,59,56,109,182,495,881,837,510,223,,,,,
El Salvador,4370,934,299,246,310,285,189,146,98,83,43,35,73,42,19,31,33,30,24,9,,,,
French Guiana,613,1293,1728,1741,2196,1213,640,242,172,206,101,64,129,87,53,60,71,45,62,20,10,,,
Grenada,0,0,0,0,8,106,171,103,39,9,3,4,1,4,3,0,0,,,,,,,
Guadeloupe,125,524,439,1899,7204,9873,7267,2130,1122,262,103,49,16,5,5,0,6,0,0,,,,,
Guatemala,528,577,184,215,426,589,530,357,268,240,69,54,104,77,37,34,59,26,41,,,,,
Guyana,3,10,5,2,7,3,3,,,,,,,,,,,,,,,,,
Haiti,789,852,403,351,175,346,172,15,,,,,,,,,,,,,,,,
Honduras,9539,6208,1654,1766,3374,3571,3623,1391,593,253,115,68,53,54,37,21,65,47,69,11,,,,
Jamaica,304,378,305,351,1276,1883,1327,581,226,165,68,31,60,41,35,46,44,29,15,,,,,
Martinique,4952,5697,5631,6179,6246,3457,2367,1041,634,208,43,34,37,4,6,5,10,12,0,,,,,
Mexico,130,104,39,84,301,638,1206,1517,1947,1714,702,126,71,27,29,55,85,201,164,,,,,
Nicaragua,128,166,80,104,227,582,2842,2955,1358,905,326,102,129,86,68,105,61,65,89,72,,,,
Panama,139,203,257,238,465,210,165,255,325,462,509,655,764,263,146,155,123,309,192,,,,,
Paraguay,155,129,158,29,3,4,10,13,12,7,13,34,28,13,12,11,4,3,4,6,,,,
Peru,3,11,9,10,43,16,15,17,82,517,636,545,525,168,1992,2077,855,306,87,,,,,
Puerto Rico,248,344,335,489,1982,4547,7921,9264,6948,5292,2148,1196,614,329,349,301,200,135,151,117,,,,
St Barthelemy,8,0,2,0,38,133,253,191,143,121,61,37,12,2,1,0,0,0,,,,,,
St Kitts-Nevis,0,0,0,0,0,1,2,54,257,244,20,5,0,0,1,3,0,,,,,,,
St Lucia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,
St Maarten (Dutch Part),30,94,49,95,471,597,678,301,409,418,230,177,59,43,23,5,6,,,,,,,
St Vincent-Grenad,15,28,6,9,57,62,180,174,49,5,,,,,,,,,,,,,,
Suriname,1632,854,298,80,39,37,45,17,24,7,3,2,4,1,1,0,0,,,,,,,
Trinidad-Tobago,1,3,12,10,59,77,296,186,55,9,3,0,1,0,0,0,0,0,0,0,,,,
Turks-Caicos,3,5,7,2,2,6,27,31,31,55,24,4,8,11,5,2,2,0,0,0,,,,
Uruguay,,,,,,,,,,,,,,,,,,,,,,,,
Venezuela,9205,17046,7573,5718,6518,5736,4379,1590,732,418,134,102,223,102,75,50,0,0,0,,,,,
Virgin Islands (GB),0,0,0,0,0,1,7,67,0,43,9,0,0,0,0,0,0,,,,,,,
Virgin Islands (US),50,80,59,42,81,90,247,318,337,383,195,107,61,32,35,31,16,18,6,0,,,,