ZIKV cases,Month,Anguilla,Antigua-Barbuda,Argentina,Aruba,Bahamas,Barbados,Belize,Bolivia,Brazil,Cayman Islands,Colombia,Costa Rica,Cuba,Curacao,Dominica,Dominican Rep,Ecuador,El Salvador,French Guiana,Grenada,Guadeloupe,Guatemala,Guyana,Haiti,Honduras,Jamaica,Martinique,Mexico,Nicaragua,Panama,Paraguay,Peru,Puerto Rico,St Barthelemy,St Kitts-Nevis,St Lucia,St Maarten (Dutch Part),St Vincent-Grenad,Suriname,Trinidad-Tobago,Turks-Caicos,Venezuela,Virgin Islands (GB),Virgin Islands (US)
2016,1,0,0,27,18,18,283,5,134,49497,9,23435,3,0,133,0,357,61,4370,613,0,125,528,3,789,9539,304,4952,130,128,139,155,3,248,8,0,0,30,15,1632,1,3,9205,0,50
2016,2,0,0,4,11,24,167,6,193,77393,10,18343,14,0,427,0,421,49,934,1293,0,524,577,10,852,6208,378,5697,104,166,203,129,11,344,0,0,0,94,28,854,3,5,17046,0,80
2016,3,0,0,7,1,0,82,3,150,58705,5,12673,3,1,203,24,677,26,299,1728,0,439,184,5,403,1654,305,5631,39,80,257,158,9,335,2,0,0,49,6,298,12,7,7573,0,59
2016,4,0,1,14,4,20,31,13,234,37077,5,12502,13,0,203,191,1216,45,246,1741,0,1899,215,2,351,1766,351,6179,84,104,238,29,10,489,0,0,0,95,9,80,10,2,5718,0,42
2016,5,1,14,46,1,22,31,47,84,21192,5,12285,238,0,214,315,1442,665,310,2196,8,7204,426,7,175,3374,1276,6246,301,227,465,3,43,1982,38,0,0,471,57,39,59,2,6518,0,81
2016,6,1,14,7,7,17,14,73,20,7291,19,5805,259,0,170,359,811,1124,285,1213,106,9873,589,3,346,3571,1883,3457,638,582,210,4,16,4547,133,1,0,597,62,37,77,6,5736,1,90
2016,7,3,38,7,0,49,15,105,6,4538,31,3551,737,2,180,251,225,1051,189,640,171,7267,530,3,172,3623,1327,2367,1206,2842,165,10,15,7921,253,2,0,678,180,45,296,27,4379,7,247
2016,8,8,136,8,1,119,53,209,18,2078,70,1333,1755,0,325,65,41,271,146,242,103,2130,357,,15,1391,581,1041,1517,2955,255,13,17,9264,191,54,0,301,174,17,186,31,1590,67,318
2016,9,4,110,10,0,57,57,179,9,1315,61,795,1688,0,425,17,34,102,98,172,39,1122,268,,,593,226,634,1947,1358,325,12,82,6948,143,257,0,409,49,24,55,31,732,0,337
2016,10,6,0,0,0,36,76,130,25,1648,19,776,1450,0,1435,8,29,51,83,206,9,262,240,,,253,165,208,1714,905,462,7,517,5292,121,244,0,418,5,7,9,55,418,43,383
2016,11,14,17,0,1,14,18,38,72,1386,7,387,834,0,1808,0,14,59,43,101,3,103,69,,,115,68,43,702,326,509,13,636,2148,61,20,0,230,,3,3,24,134,9,195
2016,12,3,0,0,3,8,6,96,63,836,6,311,508,0,632,0,13,56,35,64,4,49,54,,,68,31,34,126,102,655,34,545,1196,37,5,0,177,,2,0,4,102,0,107
2017,1,9,0,5,97,12,10,174,386,4422,5,371,409,0,267,0,4,109,73,129,1,16,104,,,53,60,37,71,129,764,28,525,614,12,0,0,59,,4,1,8,223,0,61
2017,2,0,0,66,281,0,8,278,586,3761,4,302,164,0,83,0,6,182,42,87,4,5,77,,,54,41,4,27,86,263,13,168,329,2,0,0,43,,1,0,11,102,0,32
2017,3,2,0,187,196,22,7,168,589,3906,4,225,138,0,54,0,5,495,19,53,3,5,37,,,37,35,6,29,68,146,12,1992,349,1,1,0,23,,1,0,5,75,0,35
2017,4,0,0,314,71,23,3,128,435,3833,5,238,122,0,35,0,0,881,31,60,0,0,34,,,21,46,5,55,105,155,11,2077,301,0,3,0,5,,0,0,2,50,0,31
2017,5,2,2,64,25,7,1,137,171,1042,1,178,140,0,26,0,0,837,33,71,0,6,59,,,65,44,10,85,61,123,4,855,200,0,0,0,6,,0,0,2,0,0,16
2017,6,0,0,31,1,9,0,141,10,,1,172,261,0,,0,8,510,30,45,,0,26,,,47,29,12,201,65,309,3,306,135,0,,,,,,0,0,0,,18
2017,7,1,1,4,,8,0,188,,,1,159,459,0,,0,2,223,24,62,,0,41,,,69,15,0,164,89,192,4,87,151,,,,,,,0,0,0,,6
2017,8,0,,14,,,0,4,,,0,,271,0,,,,,9,20,,,,,,11,,,,72,,6,,117,,,,,,,0,0,,,0
2017,9,,,,,,,,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,,,
2017,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,